UNITID,TUITION2
100654,5592
100663,6798
100690,7380
100706,8794
100724,6312
100751,9200
100760,4140
100812,4590
100830,7500
100858,7872
100937,29600
101028,3270
101073,7920
101116,16185
101143,3052
101161,3312
101189,15730
101240,3270
101286,3270
101295,3270
101301,3270
101365,11150
101435,19988
101453,8952
101462,2616
101471,3924
101480,7950
101499,3270
101505,3270
101514,3270
101541,14200
101569,3300
101587,6170
101602,3270
101648,6000
101675,10224
101693,17110
101709,8790
101736,3270
101879,5328
101897,3270
101912,14530
101949,3270
101958,8400
101994,3270
102030,3270
102049,24570
102058,5640
102067,3270
102076,3360
102094,6360
102234,27670
102261,11700
102270,13548
102298,10175
102313,2616
102368,5976
102377,18100
102395,11880
102429,3270
102553,5475
102580,6840
102614,5475
102632,5475
102669,29700
102845,19700
103361,4260
103644,12420
103723,14880
103778,.
103787,11700
103945,16796
104151,9208
104160,1728
104179,9114
104188,27540
104346,2160
104364,12384
104425,1680
104531,16076
104577,1760
104586,29520
104665,30000
104708,1824
104717,8055
104805,12824
105145,1824
105154,1824
105163,17748
105172,17748
105206,2280
105297,720
105330,8951
105349,1488
105367,10860
105428,1824
105516,10722
105525,1524
105589,27408
105668,1824
105747,1824
105792,1824
105899,20140
106102,11317
106148,1824
106245,5348
106263,6656
106306,6960
106342,23370
106397,6142
106412,4110
106449,2040
106458,5430
106467,4488
106485,3960
106546,6790
106625,1848
106704,5498
106713,11250
106795,1950
106810,9300
106829,1350
106883,2430
106980,2700
106999,1800
107044,14790
107071,4704
107080,35750
107141,20796
107318,2352
107327,1932
107460,2088
107488,1890
107512,20960
107521,1950
107549,1800
107558,22650
107585,2550
107600,11804
107619,2220
107637,2460
107664,2700
107725,1920
107743,1824
107840,1380
107877,12300
107974,2112
107983,5880
107992,2940
108092,3120
108232,18360
108250,17748
108269,.
108667,1104
108807,1288
108852,29900
108861,.
108870,.
109086,20500
109208,0
109350,1104
109651,35052
109785,30236
109819,1288
109907,1104
110060,8200
110097,31004
110185,19620
110219,11645
110246,1104
110307,.
110316,24960
110334,1288
110361,25090
110370,38448
110398,.
110404,38085
110413,33910
110422,5472
110468,14880
110486,5472
110495,5472
110510,5472
110529,5472
110538,5472
110547,5472
110556,5472
110565,5970
110574,5472
110583,5472
110592,5472
110608,5472
110617,5472
110635,11220
110644,11220
110653,11220
110662,11220
110671,11220
110680,11220
110699,.
110705,11220
110714,11220
110778,.
110918,8060
110945,16796
111009,14987
111081,38438
111188,5472
111391,.
111434,828
111461,1104
111887,1340
111896,1288
111920,0
111939,1104
111948,41040
111966,11549
112075,27900
112084,23824
112127,.
112172,1104
112190,0
112251,.
112260,43840
112385,1104
112394,19488
112446,19500
112525,.
112561,1104
112570,18375
112686,1380
112826,1288
113096,0
113111,1104
113193,1196
113218,1334
113236,1104
113333,1395
113537,12000
113573,1288
113582,20460
113607,16076
113634,1288
113698,38600
113704,.
113856,1218
113980,1380
114114,.
114266,1288
114354,26660
114372,21775
114390,26660
114415,26660
114433,0
114549,.
114585,.
114716,1395
114734,.
114789,1104
114813,24960
114840,.
114859,1104
114938,1196
115001,1104
115083,14160
115126,1104
115214,.
115296,1334
115393,1380
115409,44159
115454,12900
115472,12900
115490,12900
115515,12900
115533,12900
115728,31260
115746,.
115755,5472
115773,11160
115861,1288
116226,17950
116439,1451
116466,17748
116475,17748
116484,17748
116712,14500
116846,25992
117052,1104
117104,12600
117113,18648
117140,33350
117168,25000
117195,1209
117247,1104
117274,1104
117520,.
117557,9000
117575,13320
117627,27180
117636,27600
117645,1288
117672,.
117690,1218
117706,1218
117715,1218
117724,1218
117733,1218
117751,27300
117788,1218
117803,.
117867,1218
117894,1288
117928,18648
117946,38212
118347,1380
118541,28220
118684,1380
118693,35510
118718,1104
118772,1104
118888,38850
118912,864
118930,1104
118976,1104
119058,33950
119067,1104
119137,1288
119164,864
119173,31924
119216,1380
119234,18216
119270,23985
119331,1104
119359,14364
119368,14904
119508,13572
119544,7896
119605,11736
119678,.
119775,23700
120166,7200
120184,30202
120254,43490
120290,1104
120342,1104
120403,36350
120421,1288
120537,26544
120698,14348
120740,.
120768,17664
120795,.
120838,18740
120865,25740
120883,37800
120953,1288
120971,1288
121044,1104
121071,8036
121150,42520
