UNITID,TUITION2
100636,0
100654,3948
100663,4224
100690,7200
100706,5580
100724,5616
100751,7000
100760,2130
100812,3600
100830,5640
100858,6240
100937,25800
101028,2130
101073,7200
101116,14685
101143,2130
101161,2130
101189,12720
101240,2130
101286,2130
101295,2130
101301,2130
101365,10220
101435,19990
101453,8709
101462,2130
101471,1944
101480,5970
101499,2130
101505,2130
101514,2130
101541,12340
101569,2130
101587,5060
101602,2130
101648,6000
101675,8506
101693,14500
101709,6510
101736,2130
101879,4008
101897,2130
101912,13042
101949,2272
101958,7800
101994,2130
102030,2130
102049,20200
102058,3600
102067,2130
102076,2130
102094,4860
102234,23910
102261,10080
102270,12160
102298,8140
102313,2130
102368,4632
102377,15630
102395,10080
102429,2130
102553,4500
102614,4500
102632,4500
102669,24300
102845,17750
103361,3990
103644,15024
103723,31175
103778,.
103787,7260
103963,31864
104151,5997
104160,1440
104179,6540
104188,25560
104346,1736
104364,10584
104425,1352
104531,14080
104577,1520
104586,27480
104665,30000
104708,1704
104717,16500
105145,1704
105154,1704
105163,16848
105172,16848
105206,1920
105297,720
105330,6092
105349,1248
105367,9480
105428,1704
105516,8760
105525,1236
105589,23232
105668,1704
105747,1704
105792,1704
105899,14400
106102,9792
106148,1392
106245,5040
106263,5554
106306,6400
106342,19424
106397,5010
106412,3540
106449,1872
106458,4890
106467,4008
106485,3510
106546,6400
106625,1680
106704,5205
106713,9150
106795,1740
106810,7650
106829,1350
106883,2040
106980,2700
106999,1584
107044,13140
107071,4080
107080,28713
107141,18032
107318,1800
107327,1736
107460,1848
107488,1890
107512,18038
107521,1770
107549,1680
107558,18300
107585,2310
107600,8620
107619,1920
107637,2040
107664,2400
107725,1770
107743,1632
107877,10600
107974,1824
107983,5100
107992,2550
108092,3420
108232,17760
108250,16848
108269,.
108667,728
108807,722
108852,26500
108861,.
108870,.
109013,20511
109086,17445
109208,0
109350,780
109651,31076
109785,26950
109819,624
109907,624
110051,17600
110060,8200
110097,27744
110185,26160
110219,11920
110246,624
110307,.
110316,21285
110334,728
110361,21866
110370,32904
110398,.
110404,33324
110413,28980
110422,0
110468,15000
110486,0
110495,0
110510,0
110529,0
110538,0
110547,0
110556,0
110565,0
110574,0
110583,0
110592,0
110608,0
110617,0
110635,7533
110644,7533
110653,7533
110662,7533
110671,7533
110680,7533
110699,.
110705,7533
110714,7533
110778,.
110918,6900
111009,14160
111081,34830
111188,0
111391,.
111434,624
111461,780
111887,728
111896,624
111920,0
111939,676
111948,35790
111966,11200
112075,24650
112084,20580
112127,.
112172,780
112190,0
112251,.
112260,38275
112312,7038
112385,624
112394,17856
112446,45360
112525,.
112561,624
112570,16500
112686,624
112826,738
113096,0
113111,0
113193,820
113218,754
113236,624
113333,765
113537,11500
113573,728
113582,15700
113607,14400
113634,738
113698,33540
113704,.
113856,698
113980,650
114114,.
114266,728
114354,25011
114372,19900
114390,25011
114415,25011
114433,0
114549,.
114585,.
114716,765
114734,.
114789,624
114813,23640
114840,.
114859,624
114938,624
115001,624
115083,13440
115126,624
115214,.
115296,754
115393,780
115409,38222
115454,12240
115472,12240
115490,12240
115515,12240
115533,12240
115728,27000
115746,.
115755,0
115773,9648
115861,733
116226,15950
116439,624
116466,16848
116475,16848
116484,16848
116624,.
116712,16680
116846,21408
117052,624
117104,12000
117113,24144
117140,28250
117168,21600
117195,675
117247,728
117274,624
117520,.
117557,8845
117575,12204
117627,23637
117636,25200
117645,728
117672,.
117690,698
117706,698
117715,698
117724,698
117733,698
117751,24280
117788,698
117803,.
117867,698
117894,738
117928,19765
117946,34730
118347,780
118541,24052
118684,624
118693,31720
118709,.
118718,624
118772,728
118888,35196
118912,624
118930,624
118976,624
119058,31000
119067,624
119137,780
119164,624
119173,27840
119216,780
119234,12240
119270,23100
119331,624
119544,6440
119605,10728
119678,.
119775,20400
120166,7200
120184,26830
120254,37970
120290,780
120342,624
120403,30660
120421,780
120537,21560
120698,12523
120740,.
120768,20832
120795,.
120838,14080
120865,23844
120883,31730
120944,.
120953,0
120971,772
121044,676
121071,13440
121150,37730
121257,35840
121275,24300
121309,25300
121345,36710
121363,624
121381,13957
121619,624
121628,.
121691,33594
121707,624
121886,624
121901,780
121983,18360
122117,.
122180,0
122205,624
122287,.
122296,34148
122339,624
122366,13820
122375,624
122384,624
122409,0
122436,35870
122454,30880
122506,33000
122597,0
122603,.
122612,34430
122649,.
122658,624
122685,12450
122694,12450
122728,18717
122746,728
122755,0
122791,624
122843,13302
122889,728
122931,36000
122977,624
123013,707
123095,.
123165,38486
123217,624
123280,8800
123299,624
123341,624
123396,10000
123448,.
123457,20400
123484,624
123509,790
123527,0
123554,33760
123563,780
123572,0
123633,7650
123651,25452
123800,502
123855,.
123916,.
123943,.
123952,25000
123961,38570
123970,.
124113,780
124283,.
124292,22400
124487,8500
125028,780
125091,624
125170,728
125231,11314
125462,624
125471,698
125480,.
125499,624
125718,.
125727,32150
125763,33868
125897,27635
126012,.
126030,.
126049,.
126076,10000
126119,780
126182,2712
126207,2136
126289,2119
126359,9094
126401,12600
126410,14200
126562,5712
126580,4680
126614,6446
126669,18990
126678,37278
126702,24596
126711,2250
126748,2119
126775,10590
126818,4822
126827,10440
126863,2649
126872,19220
126924,8200
126942,2119
126979,.
127024,13652
127060,34596
127158,3360
127185,3102
127200,2119
127273,.
127389,2649
127556,4692
127565,2850
127617,2041
127653,23420
127680,11705
127699,11705
127714,9000
127732,2119
127741,4296
127778,2649
127787,13685
127820,2392
127884,2520
127909,2119
127918,29400
127945,24840
128106,3732
128151,2010
128258,2119
128328,0
128391,5180
128425,7700
128498,22656
128577,2832
128586,5250
128683,17740
128726,8619
128744,23400
128771,3742
128780,4680
128896,13350
128902,.
129002,22204
129020,7632
129154,17100
129215,3742
129242,36900
129367,2832
129428,.
129446,11840
129491,.
129525,27750
129534,9360
129543,2832
129613,12960
129686,21792
129695,2832
129729,2832
129756,2832
129774,24035
129808,2832
129941,28250
130004,2832
130040,2832
130110,12600
130174,22204
130183,23250
130217,2832
130226,31100
130253,30090
130271,11700
130314,26502
130396,2832
130448,12090
130493,3742
130581,.
130590,38900
130606,2832
130624,0
130697,39822
130776,3742
130785,.
130794,36500
130837,4400
130891,2472
130907,2472
130916,2472
130934,5701
130943,8540
130989,17580
131098,18950
131113,9030
131159,34456
131283,31740
131308,27960
131399,4750
131405,.
131450,10850
131469,39962
131496,38616
131520,15270
131803,12915
131830,7800
131876,19360
131973,.
132338,21375
132408,8100
132471,26400
132523,.
132602,12936
132657,28600
132693,2028
132709,1552
132842,10980
132851,1608
132879,7800
132903,2910
132976,2892
133021,2028
133085,14710
133386,2636
133465,14685
133492,31818
133508,2120
133526,9990
133553,27480
133650,2658
133669,2126
133702,2028
133711,13300
133809,11400
133872,8700
133881,31020
133951,2864
133960,2028
133979,11452
133997,16520
134079,22270
134097,2658
134130,3070
134149,13248
134237,18126
134307,2058
134343,1751
134422,9885
134495,1622
134510,4680
134574,10200
134608,2016
134680,18480
134811,30400
134875,32000
134909,16848
134945,25300
135063,6600
135081,13376
135160,1934
135188,2556
135364,4872
135391,2028
135522,2445
135610,9720
135717,2028
135726,35540
135939,15006
136066,15472
136075,11312
136145,1860
136172,2547
136206,17430
136215,20550
136233,1935
136288,13356
136330,22400
136358,1980
136400,1876
136473,1552
136516,2028
136659,1866
136701,.
136738,12153
136765,2120
136774,27620
136950,36220
137032,16996
137078,2028
137096,1552
137148,18360
137209,2028
137272,17000
137281,2040
137315,2560
137351,4503
137476,21690
137537,14800
137546,29880
137564,14450
137759,1946
137777,10250
137801,13356
137810,17808
137847,21420
137892,17000
137953,7250
137962,10400
138187,2028
138275,15120
138293,17850
138309,13140
138336,13140
138354,2743
138558,1874
138600,29890
138655,7440
138664,7080
138682,1800
138691,1812
138716,3100
138761,11416
138789,3120
138813,23535
138840,1800
138868,14450
138901,1838
138929,.
138947,16328
138956,1800
138983,2912
139010,2298
139126,1800
139144,23160
139153,7920
139199,19106
139205,13920
139214,13400
139250,1996
139278,1800
139311,2912
139348,.
139357,1800
139366,3100
139384,1800
139393,24520
139463,2494
139533,14080
139579,14685
139621,1848
139630,12880
139658,37500
139700,1848
139719,3874
139746,4520
139755,4829
139764,2907
139773,1992
139861,4520
139904,3780
139931,3178
139940,6070
139959,4828
139968,2494
139986,1800
139995,9000
140003,8625
140012,1800
140076,1800
140085,1800
140146,.
140164,2898
140234,21094
140243,1800
140252,7605
140304,1800
140322,2016
140331,1800
140340,9840
140401,6070
140447,29340
140483,1884
140553,19424
140562,.
140599,1800
140669,2912
140678,1800
140696,26400
140720,10896
140818,18000
140827,17400
140872,16500
140942,1800
140951,27765
140960,3100
140988,15950
140997,2298
141006,1800
141015,19069
141060,17818
141097,3263
141158,1800
141167,11354
141185,15450
141237,13500
141255,1800
141264,2978
141307,2298
141325,17500
141334,3996
141361,19130
141468,12240
141486,16900
141565,4584
141574,6768
141644,14860
141680,1896
141796,1896
141802,1896
141811,1896
141839,1896
141936,.
141981,4176
141990,1896
142090,8550
142115,3106
142179,1750
142276,3318
142285,0
142294,19300
142328,3392
142337,16848
142443,2464
142461,21930
142522,3280
142559,3400
142832,.
142887,23880
143048,34200
143084,31326
143118,18000
143215,5404
143233,.
143279,5730
143288,14176
143297,16275
143358,23950
143613,3864
143659,.
143853,.
143978,.
144005,5976
144014,.
144050,38550
144157,7775
144166,7775
144175,7775
144184,7775
144193,7775
144209,7775
144218,7775
144281,18490
144351,22998
144467,19975
144564,4500
144740,26765
144759,14400
144865,9760
144883,15000
144892,7170
144944,8592
144962,27270
144971,16650
145239,14580
145275,.
145336,5376
145354,8866
145372,20064
145460,16540
145497,16980
145521,3360
145558,.
145600,8342
145619,21600
145628,.
145637,9484
145646,33808
145682,5730
145691,20900
145707,6341
145725,28512
145770,18360
145813,8280
145831,7691
145886,.
146010,18480
146205,5880
146241,.
146278,5910
146296,6767
146339,22950
146348,5148
146366,4320
146393,21450
146418,8070
146427,31575
146472,5768
146481,33576
146490,.
146506,4890
146533,10880
146603,7200
146612,22990
146621,22800
146667,13020
146676,21000
146685,4740
146719,29850
146728,.
146755,12090
146816,12000
146825,17940
146977,.
147004,8521
147013,21370
147031,.
147129,13000
147165,12600
147244,25750
147341,24950
147369,0
147378,6960
147396,13900
147411,6144
147536,18315
147590,13185
147660,26676
147679,18800
147697,.
147703,7260
147749,19680
147767,38463
147776,5880
147800,7616
147828,22750
147916,7200
148007,5760
148016,22650
148131,21300
148140,9600
148177,22512
148256,3645
148292,11596
148335,19200
148380,8430
148399,11272
148405,24250
148487,21000
148496,24600
148511,22500
148575,15104
148584,22288
148593,12264
148627,23610
148654,5922
148672,8000
148724,.
148821,3480
148849,24660
148876,8064
148885,.
148919,3000
148937,3776
148973,4500
148982,.
148991,5985
149019,8580
149028,18886
149222,7290
149231,6201
149310,11700
149329,11000
149365,8040
149505,20634
149514,21980
149532,5724
149639,20250
149727,6301
149763,20986
149772,6779
149781,26520
149842,7776
150048,12450
150066,22910
150136,7228
150145,20978
150163,28460
150172,13050
150215,.
150251,11700
150288,.
150400,32800
150455,34400
150534,26010
150604,23100
150640,2000
150668,23400
150677,21100
150756,25800
150774,17700
150941,20820
150978,2990
150987,2990
150996,2990
151005,2990
151014,2990
151023,2990
151032,2990
151041,2990
151050,2990
151069,2990
151078,2990
151087,2990
151096,2990
151102,5441
151111,6923
151157,11205
151166,11205
151184,11205
151193,11205
151209,11205
151236,11205
151245,11205
151263,20970
151290,21080
151306,5274
151324,7226
151333,5408
151342,5573
151351,7722
151360,5478
151379,5417
151388,5416
151458,12760
151467,13320
151494,16848
151500,16848
151519,16074
151537,9600
151616,11448
151625,9001
151777,23000
151786,24000
151801,20496
151810,13200
151865,.
151944,9389
151962,9000
152080,37970
152099,15000
152248,5119
152266,5189
152318,33900
152336,20950
152363,24350
152381,22360
152390,28980
152415,12792
152424,12584
152451,.
152497,14560
152530,25164
152567,24100
152600,27360
152637,3974
152673,29100
152798,13119
152822,12900
152992,21867
153001,25540
153108,24630
153126,22800
153144,28950
153162,29400
153214,3450
153241,10800
153250,21720
153269,25160
153278,20200
153296,3048
153302,10916
153311,3360
153320,12860
153366,19890
153375,18944
153384,35976
153409,14515
153418,14515
153427,10375
153445,2904
153472,2976
153524,3480
153533,4096
153542,3000
153603,5756
153621,21000
153630,3570
153658,5782
153737,3330
153825,24070
153834,32140
153861,24000
153922,3048
153977,13000
154004,20890
154013,22100
154022,10620
154059,3293
154095,5756
154101,22240
154110,4160
154129,3570
154156,.
154174,7125
154235,22590
154262,14040
154350,25366
154378,3600
154396,3480
154493,21418
154518,19694
154527,26650
154536,.
154572,2760
154590,18564
154642,1504
154688,21050
154697,1568
154712,19500
154721,18715
154749,19990
154767,11472
154776,9576
154794,19087
154800,1905
154837,6480
154855,17000
154907,1980
154925,880
154934,1664
154952,1705
154998,1120
155007,5236
155025,3426
155052,2560
155061,2946
155070,11000
155089,18930
155098,1320
155104,1376
155140,0
155177,19610
155186,1590
155195,1920
155201,1040
155210,2520
155292,1470
155317,6567
155335,19200
155399,6186
155414,19200
155450,1320
155487,2700
155496,10925
155511,17900
155520,18146
155566,1440
155627,19100
155636,9480
155681,3652
155715,1504
155812,18500
155830,3066
155858,1280
155900,19530
155937,18000
155973,19200
156082,6030
156125,4497
156134,9720
156189,7300
156213,22242
156222,.
156231,3000
156286,27800
156295,0
156338,3000
156356,15600
156365,18410
156392,3000
156408,31200
156417,4972
156541,15298
156620,6312
156648,3000
156727,.
156745,26080
156790,3000
156851,3000
156860,3000
156921,3000
157021,8028
157030,5700
157058,5086
157076,16870
157085,7214
157100,13888
157207,.
157216,17640
157234,3960
157270,16805
157289,7944
157298,.
157304,2904
157331,3000
157359,12450
157377,18000
157386,6036
157401,5130
157438,3000
157447,6792
157465,12960
157483,3000
157535,14535
157553,3000
157599,9575
157632,14740
157696,10116
157711,3000
157739,3000
157748,12780
157757,17100
157766,14580
157793,15600
157809,22500
157818,24250
157863,17384
157951,7200
158088,630
158219,630
158237,630
158246,14900
158307,630
158325,8050
158334,1500
158352,630
158431,1452
158477,21790
158583,630
158662,1830
158723,9590
158769,630
158802,13000
158884,1582
158893,630
158936,630
158945,630
159009,2606
159018,630
159045,630
159090,630
159249,630
159258,630
159267,630
159373,2636
159382,2692
159391,3469
159407,2300
159416,2732
159443,630
159568,11100
159647,5091
159656,28770
159692,630
159717,2556
159823,630
159939,3704
159948,5198
159966,2603
159984,630
159993,2400
160001,630
160010,630
160029,.
160038,2594
160047,630
160065,7440
160074,7296
160214,630
160311,630
160366,630
160384,630
160409,11582
160427,630
160481,1392
160524,14343
160560,630
160579,1392
160612,2546
160621,4100
160630,2038
160649,1578
160658,4016
160667,630
160676,630
160685,630
160694,630
160719,630
160755,37200
160816,630
160843,630
160870,630
160904,15300
160913,630
160940,11566
160959,32580
160968,12300
160977,.
161004,39605
161022,6279
161059,3600
161077,2520
161086,.
161138,2520
161165,12690
161192,2520
161208,16700
161217,6000
161226,7712
161235,6030
161244,6030
161253,7590
161299,7900
161341,6030
161378,3150
161457,26940
161484,2520
161509,27550
161518,25150
161545,2520
161554,6930
161563,19900
161572,20540
161581,2604
161688,5520
161767,5070
161864,2640
161873,5325
161882,17930
162007,4286
162061,19310
162104,5250
162122,4176
162168,4452
162210,18200
162283,3527
162557,4992
162584,5000
162609,6480
162654,33294
162681,15300
162690,3672
162706,3696
162760,27770
162779,5910
162928,39150
163046,36510
163204,5520
163259,6890
163268,6484
163286,6566
163295,33000
163338,4112
163426,6270
163453,4280
163462,28420
163532,9000
163578,26500
163657,4008
163842,14630
163851,4814
163912,10995
163921,7720
163976,39992
164076,5180
164085,.
164155,0
164173,19234
164207,12600
164216,34690
164243,.
164270,32000
164313,4728
164438,8800
164447,25550
164465,38250
164474,.
164492,24192
164562,29806
164571,14960
164580,37824
164614,7426
164632,24530
164641,19875
164720,24780
164739,34360
164748,29200
164775,624
164872,11448
164915,.
164924,38530
164933,31900
164988,37910
165015,37530
165024,910
165033,576
165112,576
165149,17250
165167,13140
165194,576
165264,22943
165334,34900
165495,.
165529,28000
165574,28020
165644,21280
165662,29408
165671,29200
165699,24976
165705,.
165802,22500
165820,970
165866,970
165884,13950
165936,27152
165945,.
165981,624
166018,39112
166027,33696
166045,21850
166054,18400
166124,38180
166133,2904
166276,8730
166391,24300
166407,24222
166452,28150
166489,28000
166513,1454
166601,14250
166629,1714
166638,1714
166647,576
166656,23800
166674,8400
166683,37510
166692,1242
166708,.
166717,.
166823,576
166850,29310
166869,12500
166887,576
166911,23140
166939,38940
166948,23100
166957,600
166984,29540
167057,32900
167093,.
167181,.
167215,.
167224,20900
167251,22400
167260,27740
167288,1030
167312,600
167321,22500
167358,34950
167376,600
167394,24788
167455,20189
167464,.
167525,3960
167534,576
167598,28900
167631,624
167677,13750
167729,910
167783,30520
167792,39375
167835,37510
167899,26060
167905,750
167987,1417
167996,31210
168005,27100
168148,39432
168218,37826
168227,21800
168254,26822
168263,970
168281,39565
168290,27150
168342,39250
168421,38360
168430,970
168528,24140
168546,29488
168555,9000
168591,25838
168607,3780
168740,20520
168786,22314
168838,7020
168847,7020
168883,4040
169080,23810
169099,.
169187,9595
169220,.
169248,10170
169275,3043
169327,15600
169363,20390
169424,.
169442,28650
169479,11016
169521,3570
169576,8820
169628,.
169655,10200
169716,28920
169734,14640
169761,14640
169798,7148
169910,9480
169974,3910
169983,27584
169992,3379
170000,13400
170037,19960
170055,4344
170082,8630
170091,10800
170240,3120
170301,25500
170417,16848
170444,3048
170532,32643
170541,3503
170550,3550
170587,4260
170620,3240
170639,8184
170657,4020
170675,22638
170790,3410
170806,13050
170842,16000
170967,15792
170976,11470
171100,10913
171128,10500
171137,8142
171146,7474
171155,3360
171225,3630
171234,3990
171298,7020
171304,3690
171395,3094
171456,6840
171483,4672
171492,17430
171535,3051
171571,9188
171599,19138
171881,14694
172033,14310
172051,6462
172200,3390
172264,18610
172291,5347
172307,3495
172334,19250
172422,3750
172440,17936
172477,.
172608,7320
172617,2976
172635,2400
172644,8247
172671,3024
172699,7654
172705,.
172866,22398
172918,4715
172927,4500
172954,4332
172963,3704
172972,2900
173045,27020
173063,4576
173115,4616
173124,6291
173142,19350
173160,26900
173179,.
173203,4382
173258,39546
173300,25550
173328,26400
173416,4460
173452,10660
173461,3770
173489,15750
173559,4310
173629,14940
173638,4464
173647,31460
173665,28862
173683,17831
173708,4113
173735,4066
173799,4323
173805,4337
173887,22453
173896,.
173902,37974
173911,4178
173920,5631
173957,.
173984,18360
173993,4066
174020,5314
174066,9120
174075,7388
174118,13760
174127,29500
174136,4223
174154,14500
174206,13880
174233,8830
174251,8830
174279,14940
174358,5834
174376,4314
174385,12960
174394,17496
174428,4226
174437,14640
174464,15120
174473,4716
174482,15850
174491,22990
174507,13197
174525,13480
174570,3176
174604,4337
174622,15120
174631,15120
174738,4359
174747,29388
174756,4218
174783,5567
174792,29388
174817,24620
174844,35500
174862,19870
174899,27114
174914,28944
174932,23194
175005,20744
175014,15120
175041,4280
175078,5953
175139,.
175157,4066
175227,11344
175236,4497
175263,4644
175272,5940
175281,.
175315,4163
175342,3571
175421,16780
175430,7650
175519,1700
175528,9600
175573,1700
175616,3946
175643,1600
175652,1760
175786,1660
175810,1300
175829,1600
175856,4634
175883,1948
175917,1560
175935,1600
175980,24608
176008,1920
176017,5106
176026,5106
176035,4423
176044,4754
176053,12670
176071,1800
176080,5151
176169,1890
176178,1700
176239,1700
176318,7620
176336,4250
176354,1700
176372,5096
176406,9240
176451,.
176460,8340
176479,9300
176600,.
176619,.
176628,20250
176637,16848
176664,13610
176770,9724
176789,7560
176910,8800
176938,10310
176947,17940
176965,5859
176983,5100
177038,7842
177065,14576
177083,15586
177092,.
177117,13800
177126,.
177135,2280
177144,22250
177153,14280
177162,14080
177214,18598
177250,2088
177278,.
177302,13350
177339,15050
177418,19475
177427,.
177436,11000
177472,2688
177542,14820
177551,3936
177579,12720
177676,3072
177719,28500
177746,28580
177816,13513
177834,.
177870,3850
177922,2500
177940,5685
177968,12960
177977,4380
177986,3600
177995,4230
178004,8000
178022,4230
178059,20384
178110,9555
178208,5700
178217,3240
178226,13652
178244,16980
178305,13894
178341,4290
178350,13200
178369,15950
178387,3994
178396,7368
178402,7368
178411,7368
178420,7368
178448,2820
178518,.
178615,6458
178624,3778
178679,8480
178697,16600
178721,8344
178767,15120
178785,4230
178891,12348
178989,24950
179043,24950
179052,6795
179070,11412
179113,3450
179159,30940
179201,16437
179256,10350
179265,21525
179292,3450
179308,3450
179317,.
179326,15800
179344,3060
179450,8850
179511,14650
179539,2880
179548,24150
179557,5544
179566,5580
179645,3852
179715,2910
179742,.
179812,.
179867,37800
179894,21056
179919,15500
179946,17990
179955,23900
179964,16850
180045,2472
180054,1800
180081,3105
180106,22044
180151,2673
180160,1960
180179,3988
180197,3976
180203,1740
180212,1680
180249,2496
180258,17170
180276,2358
180328,2400
180373,3000
180416,6006
180461,4696
180489,4054
180522,3586
180595,19668
180647,4896
180692,3355
180814,5520
180832,9840
180878,11400
180902,2100
180948,3430
180984,21100
181002,28232
181011,20300
181020,20540
181093,14540
181127,20912
181145,3170
181215,4538
181242,14515
181297,10824
181303,1935
181312,2010
181330,22684
181376,9400
181394,5115
181400,14515
181419,1920
181428,7110
181446,21980
181464,5610
181491,2077
181534,3675
181543,3360
181604,21780
181640,2115
181738,16930
181756,11400
181765,3654
181783,3675
181792,2000
181817,1632
181853,12500
182005,1845
182111,23000
182148,20768
182281,4485
182290,4485
182306,1845
182430,9900
182458,22768
182500,1845
182564,1845
182634,31090
182661,27940
182670,38445
182795,27700
182829,.
182865,13354
182908,5220
182917,13750
182980,27200
183026,26112
183044,10080
183062,7000
183071,9780
183080,7000
183099,5856
183105,5856
183114,5856
183123,5856
183132,5856
183141,5856
183150,5856
183211,23490
183239,29720
183248,5735
183257,6000
183275,14500
183345,16780
183600,4900
183655,5580
183743,5616
183789,19050
183804,15428
183822,20000
183859,5520
183877,3060
183910,23800
183938,2910
183974,25334
184135,16890
184153,4000
184180,6300
184205,5640
184269,14720
184320,14000
184348,37310
184357,7800
184481,4968
184603,28194
184612,23650
184694,30392
184773,23246
184782,8074
184791,2880
184959,11250
184968,14280
184995,5775
185129,6542
185174,17150
185244,27472
185262,6165
185509,3276
185536,4656
185572,24386
185590,7042
185624,9800
185651,5640
185679,5640
185758,.
185828,10816
185873,3024
186034,2790
186122,.
186131,35340
186186,9700
186201,7683
186283,28470
186371,9546
186380,9546
186399,9546
186405,3936
186423,9700
186432,26070
186469,3090
186584,28520
186618,23642
186645,3030
186867,33600
186876,7067
186900,10000
187046,4695
187134,8980
187198,4512
187222,9440
187444,6567
187532,1836
187596,1320
187620,1344
187639,768
187648,2514
187666,1160
187745,2400
187897,2165
187903,1128
187912,1370
187958,1272
187967,3980
187976,1176
187985,4007
187994,1680
188003,1348
188021,1464
188030,3720
188049,1230
188058,2047
188100,768
188137,1290
188146,27358
188182,14710
188207,.
188216,0
188225,1296
188261,1214
188304,2616
188340,16300
188429,24100
188438,3256
188465,10950
188517,14670
188526,23260
188535,.
188580,.
188641,24366
188669,9570
188678,23750
188687,11384
188696,11500
188854,26850
188942,6000
189015,.
189088,39080
189097,37051
189228,19050
189264,6100
189273,6010
189282,12240
189413,9500
189422,10080
189459,16392
189501,.
189547,3276
189556,14670
189565,14670
189574,14670
189583,14670
189592,14670
189653,12480
189705,28455
189811,16626
189839,3560
189848,23752
189857,5500
189981,.
190008,11000
190044,32220
190053,3540
190071,4352
190080,.
190099,40690
190114,16350
190150,39296
190169,3312
190248,23950
190372,35000
190415,37750
190424,.
190442,3470
190451,7950
190503,23380
190512,4600
190521,3150
190530,3150
190549,4600
190558,4600
190567,4600
190576,4600
190585,3150
190594,4600
190600,4600
190619,3150
190628,3150
190637,4600
190646,4600
190655,4600
190664,4600
190673,3150
190682,.
190691,4600
190716,19800
190725,20250
190734,5000
190761,20420
190770,20860
190840,2900
190956,6547
190974,11880
190983,33500
191083,3300
191126,3714
191199,3296
191205,17400
191241,35717
191302,3194
191320,.
191339,3400
191384,14100
191393,14100
191515,39370
191533,32550
191597,14812
191612,3240
191621,17350
191630,39144
191649,29080
191676,24440
191719,3100
191764,8100
191931,25600
191959,14250
191968,32060
191986,3640
192004,9900
192022,3312
192040,14200
192110,30500
192147,12500
192156,11940
192165,5500
192192,22040
192244,6000
192271,19900
192323,25110
192439,27328
192448,27368
192475,13860
192509,13299
192536,5608
192554,.
192563,27368
192624,7150
192703,25100
192712,31400
192749,31490
192785,9000
192800,7945
192819,26105
192864,21578
192925,19590
192961,6243
192970,3000
192998,4200
193016,15990
193052,7000
193061,7875
193070,7900
193201,8496
193247,4700
193283,3350
193292,19970
193308,10944
193317,10944
193326,2900
193353,21210
193380,7200
193399,24400
193405,.
193478,3622
193584,24082
193645,25576
193654,34081
193751,.
193788,13824
193821,.
193830,.
193900,36586
193946,3408
193973,23700
194028,3660
194073,.
194091,23380
194107,23380
194116,16440
194161,18500
194189,7350
194204,10400
194222,7048
194240,3500
194310,31860
194392,19200
194499,9900
194541,33274
194569,12480
194578,33500
194611,9130
194657,9750
194666,6160
194675,7000
194693,8800
194718,5275
194736,7950
194763,6000
194824,38100
194958,22580
194967,12744
195003,28866
